date,open,high,low,close,change,change_percentage,volume,short_selling,margin_trading,investment_trust,dealer,foreign_invenstor,ma,bband_up,bband_down
2011/6/2,76.3,77.4,76.3,76.4,-0.6,-0.78,61881.218,5160,20808,232,372,5715,75.29,76.8247964,73.7552036
2011/6/3,77,77.2,76.1,77.2,0.8,1.05,36770.55,4823,21004,290,2440,2205,75.4,77.13781472,73.66218528
2011/6/7,77.2,78.2,76.6,77.5,0.3,0.39,41425.578,5359,20768,-1459,-452,9524,75.5,77.46468827,73.53531173
2011/6/8,77.1,78,77.1,77.5,0,0,58253.016,5545,20746,120,301,6964,75.655,77.73391799,73.57608201
2011/6/9,78,78,76.8,76.9,-0.6,-0.77,36964.778,5260,20375,213,1185,2284,75.75,77.87367606,73.62632394
2011/6/10,77,77.5,75.1,75.3,-1.6,-2.08,55348.517,4377,20664,213,-1104,-12369,75.73,77.86269782,73.59730218
2011/6/13,74.5,75,73.9,74.7,-0.6,-0.8,72548.035,3686,20393,282,828,-21438,75.67,77.84724597,73.49275403
2011/6/14,74.5,76.4,74.5,76.2,1.5,2.01,52975.332,4160,19914,119,509,1417,75.735,77.89395808,73.57604192
2011/6/15,77,77.4,76.1,77,0.8,1.05,91840.464,4730,19058,959,-474,22089,75.805,78.03163423,73.57836577
2011/6/16,76,76.2,75.4,75.5,-1.5,-1.95,63134.906,3790,19501,276,1860,-3179,75.815,78.03425663,73.59574337
2011/6/17,75,75.1,74.1,74.2,-1.3,-1.72,91732.005,2938,20418,-1441,831,-16840,75.765,78.08040493,73.44959507
2011/6/20,74.6,75.4,74.1,74.9,0.7,0.94,31787.173,2743,20183,-713,2060,-526,75.735,78.07873633,73.39126367
2011/6/21,75.4,76.2,75.3,75.9,1,1.34,42663.024,2569,18948,1392,2815,8175,75.775,78.1012631,73.4487369
2011/6/22,76.3,76.3,74.6,75,-0.9,-1.19,46702.856,1493,20048,-578,-315,-4983,75.785,78.096082,73.473918
